domain_regime,location_name,lat,lng,franchise_url,maps_url,business_name,rating,review_count,category,address,hours,phone,status
GA290,"Evans, GA",33.513,-82.143,https://homewellcares.com/in-home-care-ga-evans-ga290,"https://www.google.com/maps/search/HomeWell+Care+Services+Evans%2C+GA/@33.513,-82.143,15z",HomeWell Care Services,,,,,,,ok
PA279,"Pittsburgh, PA",40.375,-80.07,https://homewellcares.com/in-home-care-pa-pittsburgh-pa279,"https://www.google.com/maps/search/HomeWell+Care+Services+Pittsburgh%2C+PA/@40.375,-80.07,15z",,,31,,,,,ok
NV275,"Henderson, NV",36.022,-115.082,https://homewellcares.com/in-home-care-nv-henderson-nv275,"https://www.google.com/maps/search/HomeWell+Care+Services+Henderson%2C+NV/@36.022,-115.082,15z",HomeWell Care Services,,,,,,,ok
CA285,"Chula Vista, CA",32.651,-117.05,https://homewellcares.com/in-home-care-ca-chula-vista-ca285,"https://www.google.com/maps/search/HomeWell+Care+Services+Chula+Vista%2C+CA/@32.651,-117.05,15z",HomeWell Care Services,,,,,,,ok
GA296,"Marietta, GA",33.993,-84.523,https://homewellcares.com/in-home-care-ga-marietta-ga296,"https://www.google.com/maps/search/HomeWell+Care+Services+Marietta%2C+GA/@33.993,-84.523,15z",HomeWell Care Services,,,,,,,ok
GA294,"Hiram, GA",33.886,-84.732,https://homewellcares.com/in-home-care-ga-hiram-ga294,"https://www.google.com/maps/search/HomeWell+Care+Services+Hiram%2C+GA/@33.886,-84.732,15z",HomeWell Care Services,,,,,,,ok
MA291,"Braintree, MA",42.211,-71.0,https://homewellcares.com/in-home-care-ma-braintree-ma291,"https://www.google.com/maps/search/HomeWell+Care+Services+Braintree%2C+MA/@42.211,-71.0,15z",HomeWell Care Services,,,,,,,ok
TX293,"Port Arthur, TX",29.954,-93.985,https://homewellcares.com/in-home-care-tx-port-arthur-tx293,"https://www.google.com/maps/search/HomeWell+Care+Services+Port+Arthur%2C+TX/@29.954,-93.985,15z",HomeWell Care Services,,,,,,,ok
CO1676,"Denver, CO",39.765,-104.904,https://homewellcares.com/in-home-care-co-denver-co1676,"https://www.google.com/maps/search/HomeWell+Care+Services+Denver%2C+CO/@39.765,-104.904,15z",HomeWell Care Services,,,,,,,ok
ME156,"Biddeford, ME",43.443,-70.352,https://homewellcares.com/in-home-care-me-biddeford-me156,"https://www.google.com/maps/search/HomeWell+Care+Services+Biddeford%2C+ME/@43.443,-70.352,15z",HomeWell Care Services,,,,,,,ok
NH156,"Portsmouth, NH",43.089,-70.79,https://homewellcares.com/in-home-care-nh-portsmouth-nh156,"https://www.google.com/maps/search/HomeWell+Care+Services+Portsmouth%2C+NH/@43.089,-70.79,15z",HomeWell Care Services,,,,,,,ok
NJ289,"Marlton, NJ",39.909,-74.939,https://homewellcares.com/in-home-care-nj-marlton-nj289,"https://www.google.com/maps/search/HomeWell+Care+Services+Marlton%2C+NJ/@39.909,-74.939,15z",HomeWell Care Services,,,,,,,ok
ID288,"Boise, ID",43.573,-116.222,https://homewellcares.com/in-home-care-id-boise-id288,"https://www.google.com/maps/search/HomeWell+Care+Services+Boise%2C+ID/@43.573,-116.222,15z",HomeWell Care Services,,,,,,,ok
IL292,"Rockford, IL",42.269,-88.997,https://homewellcares.com/in-home-care-il-rockford-il292,"https://www.google.com/maps/search/HomeWell+Care+Services+Rockford%2C+IL/@42.269,-88.997,15z",,,8,,,,,ok
IL283,"Crystal Lake, IL",42.235,-88.337,https://homewellcares.com/in-home-care-il-crystal-lake-il283,"https://www.google.com/maps/search/HomeWell+Care+Services+Crystal+Lake%2C+IL/@42.235,-88.337,15z",HomeWell Care Services,,,,,,,ok
CA282,"San Diego, CA",32.945,-117.242,https://homewellcares.com/in-home-care-ca-san-diego-ca282,"https://www.google.com/maps/search/HomeWell+Care+Services+San+Diego%2C+CA/@32.945,-117.242,15z",HomeWell Care Services,,,,,,,ok
IL278,"Schaumburg, IL",42.026,-88.034,https://homewellcares.com/in-home-care-il-schaumburg-il278,"https://www.google.com/maps/search/HomeWell+Care+Services+Schaumburg%2C+IL/@42.026,-88.034,15z",HomeWell Care Services,,,,,,,ok
SC301,"Greenville, SC",34.862,-82.342,https://homewellcares.com/in-home-care-sc-greenville-sc301,"https://www.google.com/maps/search/HomeWell+Care+Services+Greenville%2C+SC/@34.862,-82.342,15z",HomeWell Care Services,,,,,,,ok
PA295,"N Philadelphia, PA",40.012,-75.184,https://homewellcares.com/in-home-care-pa-north-philadelphia-pa295,"https://www.google.com/maps/search/HomeWell+Care+Services+N+Philadelphia%2C+PA/@40.012,-75.184,15z",,,15,,,,,ok
TX297,"Houston, TX",29.947,-95.421,https://homewellcares.com/in-home-care-tx-houston-tx297,"https://www.google.com/maps/search/HomeWell+Care+Services+Houston%2C+TX/@29.947,-95.421,15z",HomeWell Care Services,,,,,,,ok
TX303,"Magnolia, TX",30.224,-95.584,https://homewellcares.com/in-home-care-tx-magnolia-tx303,"https://www.google.com/maps/search/HomeWell+Care+Services+Magnolia%2C+TX/@30.224,-95.584,15z",HomeWell Care Services,,,,,,,ok
CT299,"Hartford, CT",41.766,-72.675,https://homewellcares.com/in-home-care-ct-hartford-ct299,"https://www.google.com/maps/search/HomeWell+Care+Services+Hartford%2C+CT/@41.766,-72.675,15z",HomeWell Care Services,,,,,,,ok
SC313,"Myrtle Beach, SC",33.808,-78.713,https://homewellcares.com/in-home-care-sc-myrtle-beach-sc313,"https://www.google.com/maps/search/HomeWell+Care+Services+Myrtle+Beach%2C+SC/@33.808,-78.713,15z",HomeWell Care Services,,,,,,,ok
SC316,"Lexington, SC",33.978,-81.231,https://homewellcares.com/in-home-care-sc-lexington-sc316,"https://www.google.com/maps/search/HomeWell+Care+Services+Lexington%2C+SC/@33.978,-81.231,15z",HomeWell Care Services,,,,,,,ok
AL315,"Birmingham, AL",33.367,-86.762,https://homewellcares.com/in-home-care-al-birmingham-al315,"https://www.google.com/maps/search/HomeWell+Care+Services+Birmingham%2C+AL/@33.367,-86.762,15z",,,2,,,,,ok
OK312,"Tulsa, OK",36.087,-95.923,https://homewellcares.com/in-home-care-ok-tulsa-ok312,"https://www.google.com/maps/search/HomeWell+Care+Services+Tulsa%2C+OK/@36.087,-95.923,15z",HomeWell Care Services,,,,,,,ok
TN306,"Oak Ridge, TN",36.013,-84.24,https://homewellcares.com/in-home-care-tn-oak-ridge-tn306,"https://www.google.com/maps/search/HomeWell+Care+Services+Oak+Ridge%2C+TN/@36.013,-84.24,15z",HomeWell Care Services,,,,,,,ok
CA308,"Sacramento, CA",38.6,-121.431,https://homewellcares.com/in-home-care-ca-sacramento-ca308,"https://www.google.com/maps/search/HomeWell+Care+Services+Sacramento%2C+CA/@38.6,-121.431,15z",HomeWell Care Services,,,,,,,ok
GA311,"Alpharetta, GA",34.068,-84.299,https://homewellcares.com/in-home-care-ga-alpharetta-ga311,"https://www.google.com/maps/search/HomeWell+Care+Services+Alpharetta%2C+GA/@34.068,-84.299,15z",HomeWell Care Services,,,,,,,ok
CA304,"San Mateo, CA",37.563,-122.326,https://homewellcares.com/in-home-care-ca-san-mateo-ca304,"https://www.google.com/maps/search/HomeWell+Care+Services+San+Mateo%2C+CA/@37.563,-122.326,15z",HomeWell Care Services,,,,,,,ok
CA305,"Upland, CA",34.105,-117.668,https://homewellcares.com/in-home-care-ca-upland-ca305,"https://www.google.com/maps/search/HomeWell+Care+Services+Upland%2C+CA/@34.105,-117.668,15z",HomeWell Care Services,,,,,,,ok
TX1332,"Denton, TX",33.219,-97.136,https://homewellcares.com/in-home-care-tx-denton-tx1332,"https://www.google.com/maps/search/HomeWell+Care+Services+Denton%2C+TX/@33.219,-97.136,15z",HomeWell Care Services,,,,,,,ok
AL319,"Madison, AL",34.682,-86.751,https://homewellcares.com/in-home-care-al-madison-al319,"https://www.google.com/maps/search/HomeWell+Care+Services+Madison%2C+AL/@34.682,-86.751,15z",HomeWell Care Services,,,,,,,ok
CA310,"Sunnyvale, CA",37.396,-121.98,https://homewellcares.com/in-home-care-ca-sunnyvale-ca310,"https://www.google.com/maps/search/HomeWell+Care+Services+Sunnyvale%2C+CA/@37.396,-121.98,15z",HomeWell Care Services,,,,,,,ok
IL281,"Glenview, IL",42.091,-87.801,https://homewellcares.com/in-home-care-il-glenview-il281,"https://www.google.com/maps/search/HomeWell+Care+Services+Glenview%2C+IL/@42.091,-87.801,15z",HomeWell Care Services,,,,,,,ok
MA320,"Lynnfield, MA",42.539,-71.048,https://homewellcares.com/in-home-care-ma-lynnfield-ma320,"https://www.google.com/maps/search/HomeWell+Care+Services+Lynnfield%2C+MA/@42.539,-71.048,15z",,,15,,,,,ok
MO331,"Ballwin, MO",38.61,-90.568,https://homewellcares.com/in-home-care-mo-ballwin-mo331,"https://www.google.com/maps/search/HomeWell+Care+Services+Ballwin%2C+MO/@38.61,-90.568,15z",HomeWell Care Services,,,,,,,ok
UT321,"Lehi, UT",40.428,-111.892,https://homewellcares.com/in-home-care-ut-lehi-ut321,"https://www.google.com/maps/search/HomeWell+Care+Services+Lehi%2C+UT/@40.428,-111.892,15z",HomeWell Care Services,,,,,,,ok
